Time,Euler1,Euler2,Gyro1,Gyro2m,target_theta1,target_theta2,target_stroke1,target_stroke2
1681496106.5114925,[-0.01237219],[0.01848116],[0.004628],[-0.00709627],-0.004958133945569786,0.007259794134365717,0.7541130693522544,0.873353170061799
1681496106.5664291,[-0.01237219],[0.01848116],[-0.002314],[0.0004628],-0.010511737618267744,0.01330705146685905,0.8121217669947356,0.8604623483634698
1681496106.621563,[-0.01237219],[0.01848116],[-0.002314],[-0.00107987],-0.010511737618267744,0.012072917317370615,0.8024536507209887,0.8024536507209887
1681496106.6765265,[-0.01160086],[0.01770983],[0.00308534],[-0.0037024],-0.00565233440465703,0.009434955572839084,0.7476676585030899,0.8121217669947356
1681496106.7315402,[-0.01237219],[0.01848116],[0.006942],[-0.01218707],-0.003106932721337134,0.003187151441053882,0.7541130693522544,0.8701304646372168
1681496106.7863734,[-0.01160086],[0.01770983],[-0.002314],[0.0050908],-0.009971803927866552,0.016469520224923165,0.8153444724193178,0.8604623483634698
1681496106.841531,[-0.01237219],[0.01848116],[0.00077133],[-0.00169693],-0.008043469319290873,0.01157926365757524,0.8056763561455711,0.8024536507209887
1681496106.8965845,[-0.01237219],[0.01848116],[0.002314],[-0.0050908],-0.006809335169802438,0.008864168528700683,0.7444449530785077,0.8121217669947356
1681496106.951318,[-0.01237219],[0.01848116],[0.00771334],[-0.00771334],-0.0024898656465929155,0.0067661404745703434,0.7541130693522544,0.8669077592126344
1681496107.0057847,[-0.01160086],[0.01770983],[0.00077133],[-0.00169693],-0.007503535628889683,0.01103932996717405,0.8121217669947356,0.8572396429388875
1681496107.0613635,[-0.01160086],[0.01770983],[-0.00077133],[0.00169693],-0.008737669778378119,0.013754425096048607,0.8056763561455711,0.7992309452964065
1681496107.1164272,[-0.01160086],[0.01770983],[0.004628],[-0.00863894],-0.004418200255168595,0.005485726294476093,0.7412222476539254,0.8121217669947356
1681496107.1717708,[-0.01160086],[0.01770983],[0.004628],[-0.00709627],-0.004418200255168595,0.006719860443964527,0.7541130693522544,0.8669077592126344
1681496107.2264328,[-0.01160086],[0.01770983],[-0.],[0.],-0.0081206027036339,0.012396877531611328,0.8121217669947356,0.8572396429388875
1681496107.2815425,[-0.01160086],[0.01770983],[-0.00308534],[0.00215973],-0.01058887100261077,0.014124665340895138,0.8056763561455711,0.8024536507209887
1681496107.3389504,[-0.01160086],[0.01770983],[0.00617067],[-0.00894747],-0.00318406610568016,0.005238899464578405,0.7412222476539254,0.8121217669947356
1681496107.3967276,[-0.01160086],[0.01770983],[0.002314],[-0.00663347],-0.006269401479401249,0.007090100688811058,0.7541130693522544,0.8797985809109636
1681496107.4558742,[-0.01160086],[0.01770983],[-0.00154267],[0.0064792],-0.009354736853122336,0.017580240959462756,0.8217898832684825,0.8572396429388875
1681496107.5163274,[-0.01237219],[0.01693849],[-0.00308534],[0.0037024],-0.01112880469301196,0.014818865799982383,0.9023575188830396,0.7895628290226596
1681496107.5755985,[-0.01237219],[0.01693849],[-0.00308534],[0.00215973],-0.01112880469301196,0.013584731650493948,0.895912108033875,0.7992309452964065
1681496107.6339128,[-0.01237219],[0.01693849],[-1.08420217e-19],[-0.00154267],-0.00866053639403509,0.010622809691721703,0.828235294117647,0.8636850537880522
1681496107.6926146,[-0.01160086],[0.01616716],[-0.00617067],[0.0074048],-0.013057139301587641,0.017240854068353437,0.7508903639276722,0.8443488212405584
1681496107.7512221,[-0.01160086],[0.01616716],[0.006942],[-0.01064441],-0.0025669990309359425,0.0028014845193387473,0.7637811856260013,0.8636850537880522
1681496107.8102937,[-0.01160086],[0.01616716],[-0.00848467],[0.01558094],-0.014908340525820293,0.02378176506064214,0.8314579995422293,0.8411261158159762
1681496107.8680573,[-0.01160086],[0.01616716],[-0.00154267],[0.0018512],-0.009354736853122336,0.012797971130195072,0.8217898832684825,0.8540169375143053
1681496107.9270575,[-0.01160086],[0.01616716],[0.00308534],[-0.00833041],-0.00565233440465703,0.004652685743571401,0.7541130693522544,0.8314579995422293
1681496107.986086,[-0.01160086],[0.01616716],[-0.00154267],[0.00493654],-0.009354736853122336,0.015266239429171942,0.7702265964751659,0.7670038910505836
1681496108.0460732,[-0.01160086],[0.01616716],[0.00539934],[-0.00725054],-0.0038011331804243776,0.005516579648213305,0.8411261158159762,0.7863401235980773
1681496108.105681,[-0.01160086],[0.01616716],[-0.00308534],[0.0037024],-0.01058887100261077,0.014278932109581194,0.8250125886930647,0.8475715266651408
1681496108.1645513,[-0.01160086],[0.01616716],[-0.00539934],[0.00725054],-0.012440072226843422,0.017117440653404592,0.7573357747768368,0.8346807049668116
1681496108.2229528,[-0.01160086],[0.01616716],[-0.00077133],[-0.0013884],-0.008737669778378119,0.010206289416269358,0.7702265964751659,0.8475715266651408
1681496108.2811625,[-0.01160086],[0.01616716],[0.00077133],[-0.00169693],-0.007503535628889683,0.00995946258637167,0.8346807049668116,0.8250125886930647
1681496108.3398778,[-0.01160086],[0.01616716],[-0.],[0.],-0.0081206027036339,0.01131701015080895,0.8217898832684825,0.8411261158159762
1681496108.3992,[-0.01160086],[0.01616716],[0.00308534],[-0.00987307],-0.00565233440465703,0.003418551594082964,0.7573357747768368,0.8217898832684825
1681496108.4583292,[-0.01160086],[0.01616716],[-0.00077133],[0.0032396],-0.008737669778378117,0.013908691864734663,0.7734493018997483,0.7541130693522544
1681496108.5165956,[-0.01160086],[0.01616716],[0.002314],[-0.0050908],-0.006269401479401248,0.007244367457497114,0.8379034103913939,0.7734493018997483
1681496108.5744815,[-0.01160086],[0.01616716],[-0.00154267],[-0.00123413],-0.009354736853122336,0.010329702831218202,0.7218860151064316,0.8346807049668116
1681496108.632752,[-0.01160086],[0.01616716],[0.00385667],[-0.00848467],-0.005035267329912814,0.004529272328622557,0.7541130693522544,0.9055802243076219
1681496108.6913095,[-0.01160086],[0.01616716],[0.00077133],[-0.00169693],-0.007503535628889683,0.00995946258637167,0.7637811856260013,0.895912108033875
1681496108.7509751,[-0.01160086],[0.01616716],[-0.00154267],[-0.0027768],-0.009354736853122336,0.009095568681729766,0.8379034103913939,0.828235294117647
1681496108.810523,[-0.01160086],[0.01616716],[0.002314],[-0.00817614],-0.006269401479401249,0.004776099158520244,0.9152483405813686,0.7508903639276722
1681496108.8681417,[-0.01160086],[0.01616716],[0.00077133],[-0.00015427],-0.007503535628889683,0.011193596735860106,0.9120256351567865,0.760558480201419
1681496108.9281034,[-0.01160086],[0.01616716],[0.00539934],[-0.01033587],-0.0038011331804243776,0.0030483113492364346,0.8443488212405584,0.8250125886930647
1681496108.9880111,[-0.01160086],[0.01616716],[0.00154267],[-0.0064792],-0.006886468554145465,0.006133646722957522,0.760558480201419,0.9023575188830396
1681496109.047875,[-0.01160086],[0.01616716],[0.00077133],[-0.0032396],-0.007503535628889683,0.008725328436883235,0.7702265964751659,0.8894666971847104
1681496109.106759,[-0.01160086],[0.01616716],[-0.00077133],[0.00015427],-0.008737669778378119,0.011440423565757793,0.8443488212405584,0.8250125886930647
1681496109.1648095,[-0.01160086],[0.01616716],[0.00154267],[-0.00030853],-0.006886468554145465,0.011070183320911262,0.8314579995422293,0.8346807049668116
1681496109.2228882,[-0.01160086],[0.01616716],[0.00077133],[-0.00632494],-0.007503535628889684,0.006257060137906367,0.760558480201419,0.9023575188830396
1681496109.28166,[-0.01160086],[0.01616716],[-0.00308534],[0.00215973],-0.01058887100261077,0.013044797960092759,0.7766720073243305,0.8894666971847104
1681496109.340315,[-0.01160086],[0.01616716],[-0.00308534],[0.0037024],-0.01058887100261077,0.014278932109581194,0.8443488212405584,0.8250125886930647
1681496109.3989286,[-0.01160086],[0.01616716],[-0.00154267],[0.0018512],-0.009354736853122336,0.012797971130195072,0.8346807049668116,0.8346807049668116
1681496109.4587827,[-0.01160086],[0.01616716],[-0.004628],[0.0055536],-0.011823005152099206,0.015759893088967317,0.7637811856260013,0.9023575188830396
1681496109.517856,[-0.01160086],[0.01616716],[-0.00308534],[0.00833041],-0.01058887100261077,0.0179813345580465,0.7766720073243305,0.8894666971847104
1681496109.5761895,[-0.01160086],[0.01616716],[-0.00154267],[-0.00123413],-0.009354736853122336,0.010329702831218202,0.8443488212405584,0.8250125886930647
1681496109.635144,[-0.01160086],[0.01616716],[-0.00077133],[-0.0013884],-0.008737669778378119,0.010206289416269358,0.8346807049668116,0.8379034103913939
1681496109.6947408,[-0.01160086],[0.01616716],[0.004628],[-0.00863894],-0.004418200255168595,0.004405858913673713,0.7637811856260013,0.9055802243076219
1681496109.7555082,[-0.01160086],[0.01616716],[-0.002314],[0.0050908],-0.009971803927866552,0.015389652844120784,0.7766720073243305,0.8894666971847104
1681496109.8147445,[-0.01160086],[0.01616716],[-0.00154267],[0.00339387],-0.009354736853122336,0.014032105279683507,0.8443488212405584,0.8250125886930647
1681496109.8734643,[-0.01160086],[0.01616716],[0.00077133],[-0.00015427],-0.007503535628889683,0.011193596735860106,0.8379034103913939,0.8346807049668116
1681496109.932758,[-0.01160086],[0.01616716],[-4.33680869e-19],[-0.004628],-0.0081206027036339,0.007614607702343644,0.7670038910505836,0.9023575188830396
1681496109.991138,[-0.01160086],[0.01616716],[-0.00385667],[0.00539934],-0.011205938077354989,0.01563647967401847,0.7798947127489128,0.8894666971847104
1681496110.0509214,[-0.01082953],[0.01539582],[-0.00539934],[0.00570787],-0.011900138536442234,0.015343372813514968,0.8572396429388875,0.8217898832684825
1681496110.1096787,[-0.01082953],[0.01539582],[-0.00154267],[-0.00123413],-0.008814803162721147,0.009789769140817011,0.8379034103913939,0.8314579995422293
1681496110.1677945,[-0.01082953],[0.01539582],[0.00771334],[-0.01388401],-0.0014099982657905354,-0.00033013088498815707,0.7734493018997483,0.8991348134584572
1681496110.2263873,[-0.01160086],[0.01462449],[0.00154267],[-0.0018512],-0.006886468554145467,0.008756181790620446,0.783117418173495,0.8862439917601281
1681496110.2857125,[-0.01160086],[0.01462449],[0.00077133],[-0.0032396],-0.007503535628889685,0.0076454610560808545,0.8604623483634698,0.8185671778439001
1681496110.3461883,[-0.01160086],[0.01462449],[-2.16840434e-19],[-0.00308534],-0.008120602703633902,0.007768874471029698,0.8411261158159762,0.8314579995422293
1681496110.40527,[-0.01160086],[0.01462449],[-4.33680869e-19],[-0.00617067],-0.008120602703633902,0.005300606172052828,0.7702265964751659,0.9023575188830396
1681496110.46404,[-0.01160086],[0.01462449],[-0.00308534],[0.0037024],-0.010588871002610772,0.013199064728778813,0.783117418173495,0.8862439917601281
1681496110.5233545,[-0.01160086],[0.01462449],[-0.00154267],[0.00030853],-0.009354736853122337,0.010483969599904256,0.8507942320897229,0.8217898832684825
