# Simulation 2 (Up to date)
# 942 data points written for 3 variables.
# Simulation warnings:
#   Recovery device deployment at high speed (31 m/s)
#
# Time (s),Vertical velocity (m/s),Thrust (N)
# Event LAUNCH occurred at t=0 seconds
# Event IGNITION occurred at t=0 seconds
0,0,9.075
0.01,0,606.65
0.02,0.47928,1729.7
0.03,2.0279,2309.1
# Event LIFTOFF occurred at t=0.04 seconds
0.04,4.1298,2327.6
0.05,6.2516,2265.8
0.06,8.3166,2224.4
0.07,10.344,2206.2
0.08,12.356,2194.6
0.09,14.359,2208.3
0.1,16.377,2233.3
0.11,18.421,2257.6
0.12,20.491,2282
0.13,22.585,2306.3
0.14,24.706,2330.4
0.14987,26.823,2353.5
0.15896,28.796,2374.9
0.16743,30.653,2394.8
# Event LAUNCHROD occurred at t=0.17538 seconds
0.17538,32.413,2419
0.18732,35.084,2453.1
0.20521,39.153,2455.4
0.23206,45.279,2439.1
0.27233,54.429,2421.8
0.32233,65.744,2436.5
0.37233,77.174,2457.1
0.42233,88.748,2469.8
0.47233,100.42,2483.6
0.52233,112.2,2517.4
0.57233,124.18,2551.7
0.62233,136.36,2558.8
0.67233,148.61,2561.6
0.72233,160.88,2574.1
0.77233,173.24,2588.1
0.82233,185.68,2598.3
0.87233,198.17,2606.4
0.92233,210.7,2604.3
0.97233,223.21,2599
1.0223,235.67,2584.6
1.0723,248.04,2569.2
1.1223,260.28,2560.2
1.1723,272.44,2551.3
1.2223,284.51,2533.7
1.2723,296.42,2513.8
1.3223,308.16,2490.5
1.3723,319.71,2465.9
1.4223,331.05,2437.6
1.4723,342.16,2409.3
1.5223,352.96,2387.3
1.5723,363.51,2367.4
1.6223,373.86,2353.2
1.6723,384.07,2340.5
1.7223,394.2,2331.5
1.7723,404.27,2323.4
1.8223,414.32,2317.1
1.8723,424.35,2309.2
1.9223,434.34,2245.5
1.9723,443.94,1584.9
2.0223,449.49,505.45
2.0723,448.46,51.431
# Event BURNOUT occurred at t=2.1223 seconds
2.1223,444.7,0
2.1723,440.69,0
2.2223,436.73,0
2.2723,432.81,0
2.3223,428.95,0
2.3723,425.12,0
2.4223,421.32,0
2.4723,417.56,0
2.5223,413.82,0
2.5723,410.12,0
2.6223,406.43,0
2.6723,402.78,0
2.7223,399.15,0
2.7723,395.55,0
2.8223,391.98,0
2.8723,388.43,0
2.9223,384.93,0
2.9723,381.45,0
3.0223,378.02,0
3.0723,374.62,0
3.1223,371.27,0
3.1723,367.97,0
3.2223,364.71,0
3.2723,361.49,0
3.3223,358.34,0
3.3723,355.23,0
3.4223,352.18,0
3.4723,349.19,0
3.5223,346.26,0
3.5723,343.4,0
3.6223,340.59,0
3.6723,337.86,0
3.7223,335.19,0
3.7723,332.56,0
3.8223,329.98,0
3.8723,327.43,0
3.9223,324.92,0
3.9723,322.45,0
4.0223,320.01,0
4.0723,317.6,0
4.1223,315.23,0
4.1723,312.89,0
4.2223,310.58,0
4.2723,308.3,0
4.3223,306.06,0
4.3723,303.84,0
4.4223,301.65,0
4.4723,299.49,0
4.5223,297.36,0
4.5723,295.25,0
4.6223,293.18,0
4.6723,291.13,0
4.7223,289.11,0
4.7723,287.11,0
4.8223,285.14,0
4.8723,283.2,0
4.9223,281.27,0
4.9723,279.38,0
5.0223,277.5,0
5.0723,275.65,0
5.1223,273.82,0
5.1723,272.01,0
5.2223,270.22,0
5.2723,268.45,0
5.3223,266.7,0
5.3723,264.97,0
5.4223,263.26,0
5.4723,261.57,0
5.5223,259.89,0
5.5723,258.24,0
5.6223,256.6,0
5.6723,254.98,0
5.7223,253.38,0
5.7723,251.79,0
5.8223,250.22,0
5.8723,248.67,0
5.9223,247.13,0
5.9723,245.6,0
6.0223,244.1,0
6.0723,242.6,0
6.1223,241.12,0
6.1723,239.66,0
6.2223,238.21,0
6.2723,236.77,0
6.3223,235.35,0
6.3723,233.94,0
6.4223,232.54,0
6.4723,231.15,0
6.5223,229.78,0
6.5723,228.42,0
6.6223,227.07,0
6.6723,225.73,0
6.7223,224.41,0
6.7723,223.1,0
6.8223,221.79,0
6.8723,220.5,0
6.9223,219.22,0
6.9723,217.95,0
7.0223,216.69,0
7.0723,215.45,0
7.1223,214.21,0
7.1723,212.98,0
7.2223,211.76,0
7.2723,210.55,0
7.3223,209.35,0
7.3723,208.16,0
7.4223,206.98,0
7.4723,205.81,0
7.5223,204.64,0
7.5723,203.49,0
7.6223,202.34,0
7.6723,201.2,0
7.7223,200.07,0
7.7723,198.95,0
7.8223,197.84,0
7.8723,196.73,0
7.9223,195.64,0
7.9723,194.55,0
8.0223,193.46,0
8.0723,192.39,0
8.1223,191.32,0
8.1723,190.26,0
8.2223,189.21,0
8.2723,188.16,0
8.3223,187.13,0
8.3723,186.1,0
8.4223,185.07,0
8.4723,184.05,0
8.5223,183.04,0
8.5723,182.04,0
8.6223,181.04,0
8.6723,180.04,0
8.7223,179.06,0
8.7723,178.08,0
8.8223,177.1,0
8.8723,176.14,0
8.9223,175.17,0
8.9723,174.22,0
9.0223,173.27,0
9.0723,172.32,0
9.1223,171.38,0
9.1723,170.45,0
9.2223,169.52,0
9.2723,168.6,0
9.3223,167.68,0
9.3723,166.77,0
9.4223,165.86,0
9.4723,164.96,0
9.5223,164.06,0
9.5723,163.17,0
9.6223,162.28,0
9.6723,161.4,0
9.7223,160.52,0
9.7723,159.65,0
9.8223,158.78,0
9.8723,157.91,0
9.9223,157.06,0
9.9723,156.2,0
10.022,155.35,0
10.072,154.5,0
10.122,153.66,0
10.172,152.82,0
10.222,151.99,0
10.272,151.16,0
10.322,150.33,0
10.372,149.51,0
10.422,148.7,0
10.472,147.88,0
10.522,147.07,0
10.572,146.27,0
10.622,145.47,0
10.672,144.67,0
10.722,143.87,0
10.772,143.08,0
10.822,142.3,0
10.872,141.51,0
10.922,140.73,0
10.972,139.96,0
11.022,139.18,0
11.072,138.41,0
11.122,137.65,0
11.172,136.89,0
11.222,136.13,0
11.272,135.37,0
11.322,134.62,0
11.372,133.87,0
11.422,133.12,0
11.472,132.38,0
11.522,131.64,0
11.572,130.9,0
11.622,130.17,0
11.672,129.43,0
11.722,128.71,0
11.772,127.98,0
11.822,127.26,0
11.872,126.54,0
11.922,125.82,0
11.972,125.11,0
12.022,124.4,0
12.072,123.69,0
12.122,122.98,0
12.172,122.28,0
12.222,121.58,0
12.272,120.88,0
12.322,120.18,0
12.372,119.49,0
12.422,118.8,0
12.472,118.11,0
12.522,117.43,0
12.572,116.74,0
12.622,116.06,0
12.672,115.38,0
12.722,114.71,0
12.772,114.03,0
12.822,113.36,0
12.872,112.69,0
12.922,112.03,0
12.972,111.36,0
13.022,110.7,0
13.072,110.04,0
13.122,109.38,0
13.172,108.73,0
13.222,108.07,0
13.272,107.42,0
13.322,106.77,0
13.372,106.12,0
13.422,105.48,0
13.472,104.83,0
13.522,104.19,0
13.572,103.55,0
13.622,102.92,0
13.672,102.28,0
13.722,101.65,0
13.772,101.02,0
13.822,100.39,0
13.872,99.759,0
13.922,99.133,0
13.972,98.509,0
14.022,97.887,0
